,place_name,place_types,presence_likelihood,datetime,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12,type_4_hours,type_1_day,type_7_days
4029,USI Office - San Francisco,"POINT_OF_INTEREST,ESTABLISHMENT,",0.4553459548950196,2010-03-19 15:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,COUNTRY,COUNTRY,POLITICAL
4028,San Francisco Taxi School,"POINT_OF_INTEREST,ESTABLISHMENT,",0.193531494140625,2010-03-19 15:20:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,COUNTRY,COUNTRY,POLITICAL
4027,Parqyt,"POINT_OF_INTEREST,ESTABLISHMENT,",0.1071596622467041,2010-03-19 15:00:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,COUNTRY,COUNTRY,POLITICAL
4026,Mark Olson Electric Inc.,"ELECTRICIAN,POINT_OF_INTEREST,ESTABLISHMENT,",0.1501696586608887,2010-03-19 14:40:00,ELECTRICIAN,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4025,R. J. Leahy Company,"HARDWARE_STORE,POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.123298282623291,2010-03-19 14:20:00,HARDWARE_STORE,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,COUNTRY,COUNTRY,POLITICAL
4024,Excellent Technical Roofing,"ROOFING_CONTRACTOR,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.5026251983642578,2010-03-19 14:00:00,ROOFING_CONTRACTOR,GENERAL_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4023,Custom Doors Co,"POINT_OF_INTEREST,ESTABLISHMENT,",0.07973653793334962,2010-03-19 13:40:00,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4022,Roofing Co,"ROOFING_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,",0.1872811126708984,2010-03-19 13:20:00,ROOFING_CONTRACTOR,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4021,El Primo Taco Truck,"RESTAURANT,FOOD,POINT_OF_INTEREST,ESTABLISHMENT,",0.1654129600524902,2010-03-19 12:20:00,RESTAURANT,FOOD,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,COLLOQUIAL_AREA,COLLOQUIAL_AREA,POLITICAL
4020,Friendly Liquor,"LIQUOR_STORE,POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.1488961505889893,2010-03-19 12:00:00,LIQUOR_STORE,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,CONTINENT,CONTINENT,POLITICAL
4019,Pestec,"HOME_GOODS_STORE,POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.2150278282165527,2010-03-19 11:40:00,HOME_GOODS_STORE,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,CONTINENT,CONTINENT,POLITICAL
4018,Western Gravel & Roofing Supply,"POINT_OF_INTEREST,STORE,ESTABLISHMENT,",0.1138880062103271,2010-03-19 11:20:00,POINT_OF_INTEREST,STORE,ESTABLISHMENT,0,0,0,0,0,0,0,0,0,CONTINENT,CONTINENT,POLITICAL
4017,Free Motion Bodywork,"SCHOOL,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.2907654953002929,2010-03-19 11:00:00,SCHOOL,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,CONTINENT,CONTINENT,POLITICAL
4016,Free Motion Bodywork,"SCHOOL,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,",0.2907654953002929,2010-03-19 10:40:00,SCHOOL,HEALTH,POINT_OF_INTEREST,ESTABLISHMENT,0,0,0,0,0,0,0,0,CONTINENT,CONTINENT,POLITICAL
